사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
20-Jun,1호선,1,서울역,962135 ,917054 ,160905 ,150846 
20-Jun,1호선,10,동묘앞,125164 ,134811 ,129724 ,131047 
20-Jun,1호선,2,시청,455263 ,465147 ,58702 ,57219 
20-Jun,1호선,3,종각,835492 ,825294 ,115712 ,109134 
20-Jun,1호선,4,종로3가,433145 ,402591 ,261677 ,247574 
20-Jun,1호선,5,종로5가,356925 ,369491 ,229801 ,220667 
20-Jun,1호선,6,동대문,212214 ,217623 ,109322 ,113803 
20-Jun,1호선,7,신설동,280240 ,280182 ,102803 ,98654 
20-Jun,1호선,8,제기동,218651 ,213342 ,220491 ,236612 
20-Jun,1호선,9,청량리(서울시립대입구),323865 ,317602 ,236846 ,242198 
20-Jun,2호선,11,시청,520606 ,519312 ,43006 ,38882 
20-Jun,2호선,12,을지로입구,905600 ,933870 ,83375 ,77980 
20-Jun,2호선,13,을지로3가,458922 ,461201 ,62808 ,61583 
20-Jun,2호선,14,을지로4가,242386 ,242290 ,79488 ,76136 
20-Jun,2호선,15,동대문역사문화공원(DDP),277899 ,313701 ,46213 ,49048 
20-Jun,2호선,16,신당,283832 ,288493 ,80489 ,82566 
20-Jun,2호선,17,상왕십리,307527 ,292562 ,53288 ,53122 
20-Jun,2호선,18,왕십리(성동구청),386395 ,316966 ,43344 ,37577 
20-Jun,2호선,19,한양대,195259 ,217739 ,11211 ,11675 
20-Jun,2호선,20,뚝섬,457254 ,496868 ,48167 ,48972 
20-Jun,2호선,21,성수,718304 ,803656 ,85688 ,87557 
20-Jun,2호선,22,건대입구,846340 ,933529 ,74933 ,77529 
20-Jun,2호선,23,구의(광진구청),536408 ,516253 ,86469 ,88953 
20-Jun,2호선,24,강변(동서울터미널),789827 ,783015 ,102389 ,99457 
20-Jun,2호선,25,잠실나루,303303 ,292111 ,67784 ,68127 
20-Jun,2호선,26,잠실(송파구청),1579737 ,1563463 ,146216 ,140007 
20-Jun,2호선,27,잠실새내,460898 ,470877 ,82757 ,83190 
20-Jun,2호선,28,종합운동장,155387 ,169265 ,29182 ,30777 
20-Jun,2호선,29,삼성(무역센터),1243867 ,1288854 ,96266 ,88767 
